"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Description","Further Funding Org","Further Funding Dept","Sector","Country","Currency","Amount","Fund Start Date","Fund End Date","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/F05856X/1","Research Grant","Further Funding","Birmingham City University","Unlisted","Coles","Richard","","Well-being, Sustainable Futures","The Leverhulme Trust",,"Charity/Non Profit","United Kingdom","GBP","200000.0","09/2012","09/2013","5ec379a65ec379ba","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5ec379a65ec379ba&grantRef=EP%2FF05856X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F05856X/1","992589A5-03CA-4B97-B1C8-4BE4D761D1D9","798CB33D-C79E-4578-83F2-72606407192C","A022BD3A-2A7B-4E64-8877-A2E381C4CCB5","B54BEE1F-9AA3-4A94-91CF-6F32078BCD3D"
"EPSRC","EP/K013661/1","Research Grant","Further Funding","University of Nottingham","Sch of Geography","Thorne","Colin","http://orcid.org/0000-0002-2450-9624","Sustainable Cities Workshop","British Council",,"Charity/Non Profit","United Kingdom","GBP","1500.0","01/2015","01/2015","56ae5788b161a7.05812969","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=56ae5788b161a7.05812969&grantRef=EP%2FK013661%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K013661/1","C852DECE-2936-40CD-9AAA-6B8B21E58BE4","798CB33D-C79E-4578-83F2-72606407192C","936D002F-A8D1-4A93-AE5D-825ED0903D8D","B1F2CA38-21D9-41EC-8CD9-68A7E9D068B1"
"ESRC","ES/L011891/1","Research Grant","Further Funding","University of Leeds","Sch of Geography","Birkin","Mark","http://orcid.org/0000-0001-5991-098X","Healthy and Sustainable Diets","Institute of Grocery Distribution",,"Charity/Non Profit","United Kingdom","GBP","137000.0","01/2022","12/2022","6231ce9ad8e622.06438568","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=6231ce9ad8e622.06438568&grantRef=ES%2FL011891%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L011891/1","270A4DD5-C654-4A02-AEE4-46B227170F3A","924BE15C-91F2-4AAD-941A-3F338324B6AE","83D87776-5958-42AE-889D-B8AECF16B468","D4AE7D17-3B13-4E3A-A496-5EEE0C617947"
"EPSRC","EP/P025021/1","Research Grant","Further Funding","University of Manchester","Engineering and Physical Sciences","Schroder","Martin","","Sustainable Mastercards / Circular Mastercards","Mastercard UK",,"Public","United Kingdom","GBP","330000.0","01/2021","12/2023","62137e1288fb17.07286752","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=62137e1288fb17.07286752&grantRef=EP%2FP025021%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P025021/1","E215CFEE-4445-4EA4-BBC6-CA3DC2353204","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","320A9E84-D5A3-4BDD-9BAB-9BEC4AAB40E4"
"ESRC","ES/G016895/1","Research Grant","Further Funding","University of Warwick","Institute of Education","Christensen","Pia","","Sustainable Science vignette","University of Leicester",,"Academic/University","United Kingdom","GBP","3100.0","02/2013","04/2013","5ee28ff85ee2900c","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5ee28ff85ee2900c&grantRef=ES%2FG016895%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/G016895/1","E6D393D9-917B-4B8F-B899-B18EFC1DE390","924BE15C-91F2-4AAD-941A-3F338324B6AE","B6FB652A-60C3-48DD-9A33-075D1F759B48","7443EAC5-CD6B-464E-A046-52C9D1E24C03"
"EPSRC","EP/E052789/1","Fellowship","Further Funding","University College London","Chemistry","Sheppard","Tom","http://orcid.org/0000-0002-3455-1164","EPSRC Sustainable Chemical Feedstocks","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","2426238.0","08/2013","09/2016","54633a5e4a2846.28457820","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=54633a5e4a2846.28457820&grantRef=EP%2FE052789%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E052789/1","BB1CE73A-F28C-4A1C-AEE3-F04AA6047908","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","86656E2C-1847-41FF-AC54-BAF47BDF5461"
"EPSRC","EP/J00555X/1","Research Grant","Further Funding","University of Leeds","School of Earth and Environment","Steinberger","Julia","","Sustainable User Innovation","European Commission",,"Public","European Union (EU)","GBP","167012.0","01/2014","12/2014","5463f5e0ad20c7.75321239","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5463f5e0ad20c7.75321239&grantRef=EP%2FJ00555X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J00555X/1","EF3AE137-A031-496C-A5EF-EF951BAF9BAC","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","73CE21B6-1FC0-4911-A13D-F771B1F8ADC2"
"EPSRC","EP/S03305X/1","Research Grant","Further Funding","University College London","Chemical Engineering","Coppens","Marc-Olivier","http://orcid.org/0000-0002-1810-2537","EPSRC Sustainable Manufacturing grant","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","1440000.0","04/2022","05/2025","621f8504c4fb98.65040399","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=621f8504c4fb98.65040399&grantRef=EP%2FS03305X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S03305X/1","30C48A22-5675-4D0C-B5CD-3A5D6CA635B1","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","C156FA69-8048-445D-8FDB-B561F0BA6FE7"
"NERC","NE/V01045X/1","Research Grant","Further Funding","University of Manchester","Materials","Shaver","Michael","http://orcid.org/0000-0002-7152-6750","Sustainable Mastercards / Circular Mastercards","Mastercard UK",,"Public","United Kingdom","GBP","330000.0","01/2021","12/2023","62137e1288fb17.07286752","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=62137e1288fb17.07286752&grantRef=NE%2FV01045X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V01045X/1","68A42B62-E1CC-4EB4-8EF8-4F83DDF6A7CD","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","68D0E3C9-9246-4CFC-B5E9-48584CF82993","336DE53D-CF4F-4AA2-9B22-A80E46A8A764"
"EPSRC","EP/S019367/1","Research Grant","Further Funding","University of Manchester","Materials","withers","Philip","http://orcid.org/0000-0002-1946-5647","Sustainable Materials Innovation Hub","University of Manchester",,"Academic/University","United Kingdom","GBP","4954000.0","06/2020","06/2023","602a537b640098.93798128","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=602a537b640098.93798128&grantRef=EP%2FS019367%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S019367/1","CB6D5FAB-85F0-4A00-BE2F-5B387D4CBD55","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","172EC949-610A-4AAC-B568-439FC3D74B7F"
